"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YixQAE","NO3","6970631408853633","707057500065585390"
"[Charging_Facility__c]","a239Y0000000YiyQAE","NO3","6970631409028658","707057500069384166"
"[Charging_Facility__c]","a239Y0000000YizQAE","NO3","6970631405225495","707057500069401825"
"[Charging_Facility__c]","a239Y0000000Yj0QAE","NO3","6970631408718758","707057500069215965"
"[Charging_Facility__c]","a239Y0000000Yj1QAE","NO3","6970631408709893","707057500069224165"
"[Charging_Facility__c]","a239Y0000000Yj2QAE","NO5","6970631403523098","707057500029863533"
"[Charging_Facility__c]","a239Y0000000Yj3QAE","NO3","6970631409028894","707057500069347451"
"[Charging_Facility__c]","a239Y0000000Yj9QAE","","",""
"[Charging_Facility__c]","a239Y0000000YjAQAU","NO3","",""
"[Charging_Facility__c]","a239Y0000000YjBQAU","NO3","6970631407252062","707057500069180355"
"[Charging_Facility__c]","a239Y0000000YjCQAU","NO3","6970631400705558","707057500069235550"
"[Charging_Facility__c]","a239Y0000000YjDQAU","NO1","7359992922342349","707057500057564648"
"[Charging_Facility__c]","a239Y0000000YjEQAU","NO3","6970631408720638","707057500069215132"
"[Charging_Facility__c]","a239Y0000000YjFQAU","NO1","7359992925083287","707057500057731293"
"[Charging_Facility__c]","a239Y0000000YjGQAU","NO1","7359992925083539","707057500057777192"
"[Charging_Facility__c]","a239Y0000000YjHQAU","NO1","7359992925083638","707057500057780321"
"[Charging_Facility__c]","a239Y0000000YjIQAU","NO5","6970631402850980","707057500029803393"
"[Charging_Facility__c]","a239Y0000000YjJQAU","NO1","7359992901845755","707057500020975655"
"[Charging_Facility__c]","a239Y0000000YjKQAU","NO1","7359992907737429","707057500020591237"
"[Charging_Facility__c]","a239Y0000000YjLQAU","NO3","6970631409048816","707057500069355944"
"[Charging_Facility__c]","a239Y0000000YjMQAU","NO3","6970631408710936","707057500069176471"
"[Charging_Facility__c]","a239Y0000000YjNQAU","NO3","6970631409396092","707057500069452100"
"[Charging_Facility__c]","a239Y0000000YjOQAU","NO1","7359992906610365","707057500023355560"
"[Charging_Facility__c]","a239Y0000000YjPQAU","NO5","6970631401995200","707057500029912453"
"[Charging_Facility__c]","a239Y0000000YjQQAU","NO1","7359992909102232","707057500057487688"
"[Charging_Facility__c]","a239Y0000000YjRQAU","NO1","7359992926495614","707057500057834673"
"[Charging_Facility__c]","a239Y0000000YjSQAU","NO3","6970631408883753","707057500065581163"
"[Charging_Facility__c]","a239Y0000000YjTQAU","NO3","6970631408295945","707057500069181475"
"[Charging_Facility__c]","a239Y0000000YjUQAU","NO1","7359992903564623","707057500057587517"
"[Charging_Facility__c]","a239Y0000000YjVQAU","NO1","7359992927558745","707057500020866175"
"[Charging_Facility__c]","a239Y0000000YjWQAU","NO4","6970631408742944","707057500067084976"
"[Charging_Facility__c]","a239Y0000000YjXQAU","NO3","6970631401219719","707057500069170165"
"[Charging_Facility__c]","a239Y0000000YjYQAU","NO5","6970631408962342","707057500029892380"
"[Charging_Facility__c]","a239Y0000000YjZQAU","NO5","6970631400974060","707057500029964032"
"[Charging_Facility__c]","a239Y0000000YjaQAE","NO3","6970631408718246","707057500069180539"
"[Charging_Facility__c]","a239Y0000000YjbQAE","NO1","5706567272286379","707057500080548936"
"[Charging_Facility__c]","a239Y0000000YjcQAE","NO1","5706567272286355","707057500080548943"
"[Charging_Facility__c]","a239Y0000000YjdQAE","NO1","5706567334930066","707057500080798270"
"[Charging_Facility__c]","a239Y0000000YjeQAE","NO1","7359992908527821","707057500057382204"
"[Charging_Facility__c]","a239Y0000000YjfQAE","NO1","7359992925181327","707057500057628000"
"[Charging_Facility__c]","a239Y0000000YjgQAE","NO1","7359992920988235","707057500020666669"
"[Charging_Facility__c]","a239Y0000000YjhQAE","NO1","7359992922340772","707057500057565393"
"[Charging_Facility__c]","a239Y0000000YjiQAE","NO1","7359992922659133","707057500020520237"
"[Charging_Facility__c]","a239Y0000000YjjQAE","NO3","6970631400368654","707057500069183271"
"[Charging_Facility__c]","a239Y0000000YjkQAE","NO5","6970631403523319","707057500029868705"
"[Charging_Facility__c]","a239Y0000000YjlQAE","NO3","7359992933866858","707057500084803376"
"[Charging_Facility__c]","a239Y0000000YjmQAE","NO1","7359992905013853","707057500023355645"
"[Charging_Facility__c]","a239Y0000000YjnQAE","NO3","6970631401369810","707057500065603773"
"[Charging_Facility__c]","a239Y0000000YjpQAE","NO1","7359992906619672","707057500020537914"
"[Charging_Facility__c]","a239Y0000000YjrQAE","NO5","6970631400969738","707057500029832898"
"[Charging_Facility__c]","a239Y0000000YjsQAE","NO3","5706567272364688","707057500082810178"
"[Charging_Facility__c]","a239Y0000000YjtQAE","NO3","6970631407533291","707057500069181208"
